MATH201,Discrete Mathematics,,
CSCI300,Introduction to Algorithms,CSCI200,MATH201
CSCI350,Operating Systems,CSCI300,
CSCI101,Introduction to Programming in C++,CSCI100,
MATH200,Algebra,
CSCI100,Introduction to Computer Science,,
CSCI301,Advanced Programming in C++,CSCI101,
CSCI240,Test Class,
CSCI950,,,
MATH355,Lay-dee-da,,,,,,,,,,,,
CSCI400,Large Software Development,CSCI301,CSCI350
CSCI200,Data Structures,CSCI101,
CSCI500,Final Project Class,CSCI475,
CSCI600,Expert Level - Masters,CSCI500